Area_sqft,Bedrooms,Bathrooms,Age_Years,Distance_City_km,Price_Lakhs
3219,3,2,23,7.2,299.33
3616,4,3,18,10.8,344.68
1495,2,1,17,5.4,144.57
2832,5,4,14,14.9,302.24
626,1,1,10,7.3,52.54
3727,5,4,2,9.8,384.55
2008,2,1,23,11.8,172.16
2150,2,2,26,15.9,200.48
2081,2,1,1,16.7,201.46
926,1,1,12,7.3,86.74
2094,2,2,11,5.6,199.28
3399,3,2,17,18.4,310.1
2154,3,2,21,8.4,214.75
829,1,1,25,8.2,62.22
1464,2,1,20,12.7,139.56
3233,5,4,8,3.9,348.34
2807,4,4,28,14.8,274.71
1166,2,1,24,1.7,102.54
3170,4,4,19,2.1,322.06
2517,3,2,21,18.2,238.82
2799,3,3,3,7.7,276.88
613,1,1,16,22.9,49.95
1822,2,1,11,19.2,165.73
3789,4,4,15,1.0,391.89
3904,5,4,1,6.4,407.63
922,1,1,26,2.2,84.05
3736,5,4,21,12.1,376.17
1685,3,2,29,13.7,163.26
1423,2,2,21,16.4,128.75
2719,4,3,7,6.0,280.07
3009,4,3,0,2.2,318.89
1537,1,1,27,8.6,129.39
1740,3,2,17,3.7,186.52
2938,5,4,25,12.1,299.09
986,1,1,11,10.9,86.85
3586,4,3,1,10.4,358.65
1047,1,1,6,13.6,86.91
1351,1,1,7,21.9,106.57
3909,4,3,20,25.0,376.03
982,1,1,13,12.4,79.17
2242,2,1,12,0.6,212.97
3811,6,5,13,17.6,400.48
3808,6,5,6,7.8,416.03
2972,3,3,1,1.7,304.23
2775,3,2,30,12.9,263.75
880,1,1,12,3.4,90.43
1608,1,1,13,16.6,139.6
1895,2,1,21,18.0,161.12
2221,3,3,14,8.2,229.79
897,1,1,19,25.0,74.75
900,1,1,4,23.4,82.84
1600,2,2,5,11.2,160.02
1839,1,1,29,16.8,158.13
1150,1,1,28,3.1,98.59
1715,2,1,22,8.9,159.67
1681,3,3,28,22.7,148.62
3198,5,5,1,0.6,357.22
3209,4,3,23,11.3,318.21
2897,3,2,2,23.7,280.76
1210,1,1,18,14.0,99.9
771,1,1,28,23.4,58.65
763,1,1,21,6.6,56.51
3795,6,5,29,23.3,388.13
3876,5,5,0,4.9,418.9
3804,6,5,8,4.4,411.51
2166,2,2,7,5.4,221.33
2032,2,1,7,1.1,192.77
1944,2,1,30,19.4,161.4
2686,4,4,30,1.2,282.44
1669,2,2,1,3.2,172.06
3584,5,5,19,24.6,351.25
2961,4,4,1,17.9,295.39
3903,5,5,13,2.2,410.21
1952,2,1,23,22.6,167.2
3331,5,5,12,17.6,346.36
1385,2,2,21,18.8,118.37
2931,4,4,17,20.9,287.04
1460,3,3,14,11.3,157.6
2693,4,3,21,2.6,275.26
3192,4,3,26,23.8,296.72
1871,2,1,4,1.1,181.12
